Category,References,Value,LCSC Part #,Footprint
Capacitors,C1,100nF,C307478,0603_CAP
Capacitors,C2,100nF,C307478,0603_CAP
Capacitors,C3,100nF,C307478,0603_CAP
Capacitors,C5,220uF,C96175,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,C6,100nF,C307478,0603_CAP
Capacitors,C9,100nF,C307478,0603_CAP
Capacitors,C10,100nF,C307478,0603_CAP
Capacitors,C11,100nF,C307478,0603_CAP
Capacitors,C12,100nF,C307478,0603_CAP
Capacitors,C21,470uF,C2836436,CAP SMD 10.5X10MM ALUMINUM 470UF/35V
Capacitors,C22,47uF,C250030,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,C23,100nF,C307478,0603_CAP
Capacitors,C26,220uF,C96175,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,C34,10uF,C304002,1206_CAP
Capacitors,C35,100nF,C307478,0603_CAP
Resistors,R1,10k,C73809,0603_RES
Resistors,R2,10k,C73809,0603_RES
Resistors,R3,10k,C73809,0603_RES
Resistors,R4,10k,C73809,0603_RES
Resistors,R5,1K,C269704,0603_RES
Resistors,R6,1K,C269704,0603_RES
Resistors,R7,1K,C269704,0603_RES
Resistors,R8,10K,C73809,0603_RES
Resistors,R9,10k,C73809,0603_RES
Resistors,R10,10k,C73809,0603_RES
Resistors,R11,10k,C73809,0603_RES
Resistors,R12,10k,C73809,0603_RES
Resistors,R13,4.7K,C23162,0603_RES
Resistors,R14,4.7K,C23162,0603_RES
Resistors,R15,4.7K,C23162,0603_RES
Resistors,R16,4.7K,C23162,0603_RES
Resistors,R17,220,C22962,0603_RES
Resistors,R18,220,C22962,0603_RES
Resistors,R19,220,C22962,0603_RES
Resistors,R20,220,C22962,0603_RES
Resistors,R21,4.7K,C23162,0603_RES
Resistors,R22,4.7K,C23162,0603_RES
Resistors,R23,4.7K,C23162,0603_RES
Resistors,R24,4.7K,C23162,0603_RES
Resistors,R25,680,C23228,0603_RES
Resistors,R26,680,C23228,0603_RES
Resistors,R27,680,C23228,0603_RES
Resistors,R28,680,C23228,0603_RES
Resistors,R29,4.7K,C23162,0603_RES
Resistors,R32,10k,C73809,0603_RES
Resistors,R33,330,C351654,0603_RES
Resistors,R34,330,C351654,0603_RES
Resistors,R35,1k,C269704,0805_RES
Resistors,R36,220,C22962,0603_RES
Resistors,R37,10k,C73809,0805_RES
Resistors,R38,4.7K,C23162,0603_RES
Resistors,R43,4.7K,C23162,0603_RES
Resistors,R44,1K,C269704,0603_RES
Resistors,R56,1K,C269704,0603_RES
Resistors,R63,10k,C73809,0805_RES
Resistors,R64,1k,C269704,0603_RES
Resistors,R84,470,C328426,0603_RES
Integrated Circuits,U1,74HC14,C507186,DIL14
Integrated Circuits,U3,PC817X3CSP9F,C191932,PC817XI1J
Integrated Circuits,U4,PC817X3CSP9F,C191932,PC817XI1J
Integrated Circuits,U5,MC7812BDTRKG,C126398,MC7812BDTRKG
Integrated Circuits,U6,PC817X3CSP9F,C191932,PC817XI1J
Integrated Circuits,U7,TS78M05CP,C131137,TS78M05CP
Integrated Circuits,U9,PC817X3CSP9F,C191932,PC817XI1J
Integrated Circuits,U10,DS3231SN,C9866,SOIC127P1032X265-16N
Integrated Circuits,U11,"LM2576-3,3",C194472,TO170P1410X464-6
Integrated Circuits,U14,PC817X3CSP9F,C191932,PC817XI1J
Integrated Circuits,U18,AT24C512B,C81193,SO8
Transistors,Q01,LED smd 0603,C84268,LEDC2012X120
Transistors,Q02,LED smd 0603,C84268,LEDC2012X120
Transistors,Q03,LED smd 0603,C84268,LEDC2012X120
Transistors,Q04,LED smd 0603,C84268,LEDC2012X120
Transistors,Q05,LED smd 0603,C84268,LEDC1608X60
Transistors,Q10,IRF9Z24NS,C558156,DPAK-N
Diodes,D01,1n4007 Smd Do-214,C727081,SOD2614X116
Diodes,D02,1n4007 Smd Do-214,C727081,SOD2614X116
Diodes,D03,1n4007 Smd Do-214,C727081,SOD2614X116
Diodes,D04,1n4007 Smd Do-214,C727081,SOD2614X116
Diodes,D28,SS36A,C698867,DIOM5226X230N
Diodes,D29,SS36A,C698867,DIOM5226X230N
Diodes,D33,1N4148W,C84367,SOD123
Miscellaneous,12V,TBLOCK-M2,C474894,TBLOCK-M2
Miscellaneous,3.3V,TBLOCK-M2,C474894,TBLOCK-M2
Miscellaneous,5V,TBLOCK-M2,C474894,TBLOCK-M2
Miscellaneous,BAT1,3V,C964750,BAT 3V EG
Miscellaneous,DA,1N4148W,C84367,SOD123
Miscellaneous,DB,1N4148W,C84367,SOD123
Miscellaneous,DEEP-SLEEP,Boton SMD,C388295,BUTTON SMD
Miscellaneous,ENTRADAS,TBLOCK-M2,C474894,TBLOCK-M2
Miscellaneous,ESPA,B2200S16PA120,C124409,CON16_1X16_U_FCI
Miscellaneous,ESPB,B2200S16PA120,C124409,CON16_1X16_U_FCI
Miscellaneous,F1,1A,C182308,FUSE SMD
Miscellaneous,FUENTE,TBLOCK-M2,C474894,TBLOCK-M2
Miscellaneous,J1,TBLOCK-M3,C8393 ,TBLOCK-M3
Miscellaneous,J2,TBLOCK-M3,C474882,TBLOCK-M3
Miscellaneous,JP1,JUMPER2,,CONN-SIL3
Miscellaneous,JP2,JUMPER2,,CONN-SIL3
Miscellaneous,JP3,JUMPER2,,CONN-SIL3
Miscellaneous,JP4,JUMPER2,,CONN-SIL3
Miscellaneous,L,100uh,C169389,SMD 12.5X12.5X5MM
Miscellaneous,L01,LED smd 0603,C84268,LEDC1608X60
Miscellaneous,L02,LED smd 0603,C84268,LEDC1608X60
Miscellaneous,L03,LED smd 0603,C84268,LEDC1608X60
Miscellaneous,L04,LED smd 0603,C84268,LEDC1608X60
Miscellaneous,LCD,CONN-H4,C3703,CONN-SIL4
Miscellaneous,LED-MQTT,TBLOCK-M2,C474894,TBLOCK-M2
Miscellaneous,LED-WI-FI,TBLOCK-M2,C474894,TBLOCK-M2
Miscellaneous,MOSFET,TBLOCK-M3,C8393 ,TBLOCK-M3
Miscellaneous,NODEMCU,B2200S16PA120,C124409,CON16_1X16_U_FCI
Miscellaneous,PRG,Boton SMD,C388295,BUTTON SMD
Miscellaneous,PW,LED-RED,C375458,LEDC2012X120
Miscellaneous,RELAY1,12 Vcc. 10 Amp,C35449,117211503
Miscellaneous,RELAY2,12 Vcc. 10 Amp,C35449,117211503
Miscellaneous,RELAY3,12 Vcc. 10 Amp,C35449,117211503
Miscellaneous,RELAY4,12 Vcc. 10 Amp,C35449,117211503
Miscellaneous,RELES,TBLOCK-M3,C474882,TBLOCK-M3
Miscellaneous,RST,BOTON 90 TH,C406158,118250272
Miscellaneous,ULN2803,ULN2803,C2758014,SOP18
Miscellaneous,USBTC1,USB TIPO C EG,C168703,MOLEX_2047110001
Miscellaneous,WI-FI,BOTON 90 TH,C406158,118250272
